Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(1, 1, 2, 3)",366,"[169, 277, 430, 446, 481, 596, 1999, 2337, 2953, 3004, 3072, 3354]",12
"(1, 1, 2, 3)",366,"[174, 439, 1219, 1400, 1456, 1576, 1978, 2008, 2034, 2116, 2328, 2473]",12
"(1, 1, 2, 3)",365,"[200, 730, 933, 1330, 1632, 1705, 1825, 1952, 1991, 2049, 2223, 2564]",12
"(1, 1, 2, 3)",343,"[195, 459, 1198, 1381, 1478, 1597, 1956, 1987, 2051, 2095, 2308, 2494]",12
"(1, 1, 2, 3)",343,"[286, 423, 474, 601, 1093, 1421, 1969, 2025, 2121, 2482, 2983, 3256]",12
"(1, 1, 2, 3)",324,"[64, 191, 367, 671, 735, 768, 1984, 2573, 2807, 2927, 3014, 3165]",12
"(1, 1, 2, 3)",317,"[66, 374, 666, 761, 1119, 1686, 1832, 1947, 2042, 2232, 2966, 3403]",12
"(1, 1, 2, 3)",293,"[186, 260, 416, 468, 503, 613, 1982, 2315, 2931, 3016, 3060, 3366]",12
"(1, 1, 2, 3)",292,"[265, 414, 494, 622, 1114, 1443, 1949, 2046, 2104, 2499, 2962, 3234]",12
"(1, 1, 3, 2)",519,"[380, 635, 773, 778, 1841, 1876, 2108, 2148, 2275, 2537, 2577, 2582]",12
"(1, 1, 3, 2)",454,"[511, 631, 2113, 2143, 2324, 2542]",6
"(1, 1, 3, 2)",442,"[740, 762, 1766, 1785, 2593, 2608]",6
"(1, 1, 3, 2)",428,"[105, 299, 705, 722, 1919, 2159, 2200, 2235, 2486, 2526, 2614, 2631]",12
"(1, 1, 3, 2)",419,"[399, 657, 788, 790, 1822, 1857, 2087, 2126, 2297, 2552, 2556, 2560]",12
"(1, 1, 3, 2)",367,"[86, 321, 701, 727, 1897, 2174, 2219, 2254, 2465, 2504, 2619, 2629]",12
"(1, 1, 3, 2)",335,"[295, 316, 436, 455, 2164, 2176, 2380, 2402, 2469, 2491, 2500, 2521]",12
"(1, 1, 3, 2)",318,"[533, 652, 2091, 2122, 2305, 2554]",6
"(1, 1, 3, 2)",298,"[471, 490, 736, 757, 2017, 2021, 2038, 2043, 2345, 2367, 2598, 2610]",12
"(1, 2, 0, 4)",536,"[849, 854, 894, 1156, 1283, 1323, 1555, 1590, 2653, 2658, 2796, 3051]",12
"(1, 2, 0, 4)",521,"[800, 817, 905, 945, 1196, 1231, 1272, 1512, 2709, 2726, 3132, 3326]",12
"(1, 2, 0, 4)",501,"[871, 875, 879, 1134, 1305, 1344, 1574, 1609, 2641, 2643, 2774, 3032]",12
"(1, 2, 0, 4)",479,"[823, 838, 1646, 1665, 2669, 2691]",6
"(1, 2, 0, 4)",474,"[802, 812, 927, 966, 1177, 1212, 1257, 1534, 2704, 2730, 3110, 3345]",12
"(1, 2, 0, 4)",466,"[889, 1107, 1288, 1318, 2800, 2920]",6
"(1, 2, 0, 4)",456,"[910, 931, 940, 962, 1029, 1051, 1255, 1267, 2976, 2995, 3115, 3136]",12
"(1, 2, 0, 4)",452,"[821, 833, 1064, 1086, 1388, 1393, 1410, 1414, 2674, 2695, 2941, 2960]",12
"(1, 2, 0, 4)",392,"[877, 1126, 1309, 1340, 2779, 2898]",6
"(1, 2, 1, 3)",572,"[387, 1362, 1615, 1813, 2797, 3041]",6
"(1, 2, 1, 3)",567,"[82, 361, 694, 750, 843, 1678, 2678, 2718, 2734, 2833, 3149, 3416]",12
"(1, 2, 1, 3)",559,"[392, 645, 1348, 1353, 1357, 1622, 1818, 2080, 2783, 2788, 2792, 3048]",12
"(1, 2, 1, 3)",539,"[61, 253, 970, 975, 1280, 1551, 2247, 2514, 2868, 3094, 3119, 3124]",12
"(1, 2, 1, 3)",524,"[18, 715, 954, 1312, 1662, 1699, 1762, 2589, 2687, 2743, 2826, 3140]",12
"(1, 2, 1, 3)",517,"[93, 338, 928, 984, 1186, 1542, 1886, 2191, 3092, 3133, 3189, 3372]",12
"(1, 2, 1, 3)",516,"[33, 734, 934, 1332, 1642, 1708, 1747, 2570, 2666, 2763, 2804, 3162]",12
"(1, 2, 1, 3)",516,"[409, 1379, 1629, 1801, 2775, 3019]",6
"(1, 2, 1, 3)",513,"[16, 443, 1221, 1411, 1467, 1577, 1757, 2334, 2692, 2748, 3071, 3351]",12
"(1, 2, 1, 3)",505,"[850, 963, 1319, 1655, 1671, 1692, 1736, 1773, 1851, 2207, 2727, 3414]",12
"(1, 2, 1, 3)",498,"[98, 567, 919, 979, 1193, 1275, 2155, 2196, 2861, 3128, 3180, 3379]",12
"(1, 2, 1, 3)",495,"[413, 664, 1370, 1374, 1377, 1631, 1803, 2058, 2766, 2768, 2771, 3028]",12
"(1, 2, 1, 3)",490,"[28, 465, 1199, 1389, 1484, 1599, 1745, 2312, 2670, 2765, 3057, 3365]",12
"(1, 2, 1, 3)",478,"[44, 1251, 1306, 2264, 2853, 3313]",6
"(1, 2, 1, 3)",478,"[309, 340, 914, 923, 1244, 1277, 1890, 2458, 2865, 3175, 3184, 3342]",12
"(1, 2, 1, 3)",478,"[846, 1228, 1402, 1418, 1458, 1586, 1741, 1778, 2120, 2479, 2722, 3253]",12
"(1, 2, 1, 3)",477,"[119, 589, 899, 999, 1173, 1292, 2136, 2181, 2839, 3107, 3201, 3388]",12
"(1, 2, 1, 3)",476,"[288, 432, 483, 602, 841, 1427, 2683, 2713, 2739, 3073, 3260, 3358]",12
"(1, 2, 1, 3)",474,"[867, 1208, 1382, 1440, 1479, 1606, 1726, 1799, 2101, 2498, 2701, 3231]",12
"(1, 2, 1, 3)",469,"[328, 355, 897, 902, 1253, 1297, 1869, 2436, 2844, 3197, 3204, 3322]",12
"(1, 2, 1, 3)",466,"[67, 376, 672, 769, 863, 1687, 2661, 2698, 2756, 2813, 3169, 3407]",12
"(1, 2, 1, 3)",460,"[115, 350, 906, 1001, 1164, 1564, 1864, 2179, 3078, 3111, 3206, 3386]",12
"(1, 2, 1, 3)",460,"[872, 941, 1341, 1633, 1685, 1706, 1724, 1795, 1829, 2229, 2705, 3400]",12
"(1, 2, 1, 3)",456,"[56, 1237, 1284, 2242, 2870, 3335]",6
"(1, 2, 1, 3)",453,"[46, 231, 992, 996, 1301, 1571, 2268, 2533, 2848, 3085, 3102, 3104]",12
"(1, 2, 1, 3)",446,"[77, 359, 427, 478, 1094, 1432, 2835, 2950, 2985, 3001, 3154, 3262]",12
"(1, 2, 1, 3)",431,"[266, 417, 504, 624, 858, 1447, 2663, 2696, 2760, 3064, 3240, 3367]",12
"(1, 2, 1, 3)",419,"[958, 1103, 1315, 1397, 1423, 1453, 1855, 1975, 2031, 2212, 2992, 3257]",12
"(1, 2, 1, 3)",400,"[175, 448, 949, 1310, 1406, 1462, 2010, 2338, 2830, 2957, 3008, 3145]",12
"(1, 2, 1, 3)",397,"[937, 1123, 1336, 1380, 1444, 1475, 1834, 1953, 2050, 2233, 2972, 3236]",12
"(1, 2, 1, 3)",360,"[65, 371, 415, 500, 1116, 1449, 2818, 2928, 2963, 3015, 3171, 3245]",12
"(1, 2, 1, 3)",348,"[197, 469, 932, 1327, 1385, 1482, 1988, 2317, 2809, 2937, 3017, 3166]",12
"(1, 2, 2, 2)",602,"[381, 782, 1878, 2586, 2822, 3209]",6
"(1, 2, 2, 2)",570,"[388, 775, 1349, 1710, 1838, 1847, 1887, 2272, 2281, 2579, 2862, 3411]",12
"(1, 2, 2, 2)",559,"[410, 789, 1371, 1715, 1821, 1826, 1865, 2294, 2301, 2557, 2840, 3396]",12
"(1, 2, 2, 2)",558,"[401, 791, 1858, 2566, 2801, 3224]",6
"(1, 2, 2, 2)",551,"[87, 107, 711, 731, 2236, 2256, 2623, 2632, 2873, 2888, 3137, 3158]",12
"(1, 2, 2, 2)",547,"[379, 517, 522, 632, 1873, 2145, 2330, 2335, 2827, 3068, 3214, 3390]",12
"(1, 2, 2, 2)",514,"[384, 508, 1492, 1611, 1852, 1882, 2110, 2286, 2321, 2539, 3089, 3254]",12
"(1, 2, 2, 2)",510,"[116, 724, 971, 1667, 1894, 1923, 2204, 2216, 2243, 2616, 3198, 3430]",12
"(1, 2, 2, 2)",510,"[513, 641, 1345, 1487, 1843, 2117, 2152, 2277, 2326, 2546, 2857, 3249]",12
"(1, 2, 2, 2)",495,"[94, 702, 993, 1682, 1903, 1916, 2199, 2225, 2265, 2630, 3176, 3425]",12
"(1, 2, 2, 2)",477,"[111, 452, 1233, 1419, 1925, 2161, 2208, 2239, 2377, 2488, 3303, 3383]",12
"(1, 2, 2, 2)",464,"[1454, 1476, 1688, 1703, 1770, 1774, 1791, 1796, 2342, 2364, 2595, 2609]",12
"(1, 2, 2, 2)",462,"[85, 318, 440, 466, 2251, 2391, 2406, 2501, 2878, 3101, 3163, 3347]",12
"(1, 2, 2, 2)",457,"[396, 537, 539, 654, 1856, 2123, 2309, 2313, 2805, 3053, 3226, 3395]",12
"(1, 2, 2, 2)",447,"[405, 530, 1504, 1626, 1830, 1861, 2088, 2303, 2304, 2553, 3074, 3232]",12
"(1, 2, 2, 2)",447,"[479, 501, 737, 759, 1765, 1782, 2351, 2371, 2735, 2757, 3418, 3423]",12
"(1, 2, 2, 2)",446,"[90, 435, 1248, 1441, 1908, 2175, 2230, 2260, 2399, 2466, 3291, 3368]",12
"(1, 2, 2, 2)",444,"[305, 437, 988, 1436, 1920, 2168, 2201, 2403, 2495, 2530, 3172, 3286]",12
"(1, 2, 2, 2)",440,"[102, 296, 444, 461, 2234, 2386, 2408, 2523, 2890, 3096, 3141, 3362]",12
"(1, 2, 2, 2)",423,"[534, 661, 1366, 1502, 1823, 2097, 2132, 2298, 2306, 2555, 2836, 3228]",12
"(1, 2, 2, 2)",403,"[472, 492, 746, 766, 1767, 1787, 2602, 2611, 2731, 2752, 3265, 3280]",12
"(1, 2, 2, 2)",393,"[325, 457, 967, 1415, 1899, 2177, 2221, 2382, 2475, 2510, 3193, 3301]",12
"(1, 2, 2, 2)",372,"[1450, 1471, 2027, 2047, 2347, 2368]",6
